companyName,contactName,url,industry,area,contactChannel,instagramUrl,contactFormUrl,lineReservation,notes
サンプル通信代理店A,,通信代理店,東京都,unknown,,,"未確認","通信代理店向けZ候補サンプル。公式URL・問い合わせ窓口・事業内容は未確認。送信前に公式情報確認必須。"
サンプル携帯ショップ運営B,,携帯ショップ運営,千葉県,unknown,,,"未確認","通信代理店向けZ候補サンプル。複数店舗運営・スタッフ確認業務を想定。"
サンプル光回線販売C,,光回線販売,神奈川県,unknown,,,"未確認","通信代理店向けZ候補サンプル。料金・キャンペーン・規約確認業務を想定。"
サンプル通信イベント会社D,,通信イベント販売,埼玉県,unknown,,,"未確認","通信代理店向けZ候補サンプル。イベントスタッフの確認業務を想定。"
サンプルインターネット回線販売E,,インターネット回線販売,東京都,unknown,,,"未確認","通信代理店向けZ候補サンプル。複数キャンペーン・複雑な料金体系を想定。"
サンプルauショップ運営会社F,,auショップ運営,千葉県,unknown,,,"未確認","通信代理店向けZ候補サンプル。複数店舗のマニュアル・料金管理を想定。"
サンプルドコモショップ代理店G,,ドコモショップ代理店,神奈川県,unknown,,,"未確認","通信代理店向けZ候補サンプル。新人研修・確認業務の標準化を想定。"
サンプルソフトバンクショップ運営H,,ソフトバンクショップ運営,埼玉県,unknown,,,"未確認","通信代理店向けZ候補サンプル。キャンペーン・規約が複雑な環境を想定。"
サンプル通信販売会社I,,通信販売会社,東京都,unknown,,,"未確認","通信代理店向けZ候補サンプル。イベント販売・期間限定キャンペーンを想定。"
サンプル携帯販売スタッフ派遣J,,携帯販売スタッフ派遣,千葉県,unknown,,,"未確認","通信代理店向けZ候補サンプル。派遣スタッフの育成・確認業務を想定。"
